Definition,Answer,"Part of Speech
(V - verb,N - noun,
Adj - Adjective, Adv - Adverb)
",length, answer
A covering for your wound,bandage,n,7
To increase in something,gain,v,4
Owner of a property that is leased,landlord,n,8
Many different things,various,adj,7
Decision based on facts,rational,adj,8
Complexion that is closer to white,pale,adj,4
Tendency of being angry,temper,n,6
Not false or fake,genuine,adj,7
Not permanent,temporary,adj,9
Desire of wanting what someone has,envy,v or n,4
State or condition of being wrong,error,n,5
Fog mixed with smoke,smog,n,4
A person who steals,thief,n,5
A building or shelter,house,n,5
Something funny,joke,n,4
Not allowed by law,illegal,adj,7
Of lesser importance or significance,minor,adj,5
A motion picture,movie,n,5
Not pretty or attractive,ugly,adj,4
A formal and serious promise ,oath,n,4
Not showing good health,ill,adj,3
Not plain or ordinary,fancy,adj,5
Coins or bills,money,n,5
An excuse for not being somewhere,alibi,n,5
To become less wide,narrow,v,6
A boy or young man,lad,n,3
Difficult to understand or solve,hard,adj,4
Happy and cheerful,jolly,adj,5
Continuing for  a long time,lasting,adj,7
To hide something or someone,conceal,v,7
Of or relating to a young person,juvenile,adj,8
Something that is sure to happen,inevitable,adj,10
To make something ready,prepare,v,7
Partly hidden or cloudy,hazy,adj,4
Someone who cuts and sells meat,butcher,n,7
To spread on a surface,apply,v,5
A health center or a doctor's office,clinic,n,6
At all times,always,adv,6
Painful discolored area on the skin,bruise,n,6
The feeling when you're about to vomit,nausea,n,6
A feeling of dount about one's conduct,qualm,n,5
It means going to,gonna,v,5
Power or skill to do something,ability,n,7
Logs that have been cut for use,lumber,n,6
The act for being modest; not proud,humble,adj,6
One-sidedness or favoritism,bias,n,4
To leave and never return,abandon,v,7
A person or animal's stomach,tummy,n,5
To go to a place,travel,v,6
Having very little or no light,dark,adj,4
To fail to win,lose,v,4
A particular smell,odor,noun,4
To leave (a job); to stop doing,quit,v,4
A close friend or buddy,pal,n,3
Not able to hear,deaf,adj,4
Time during the day when light first appears ,dawn,noun,4
To refuse to notice,ignore,v,6
Containing poisonous substance,toxic,adj,5
"Gentle,not strong or harsh",mild,adj,4
A travel plan or schedule,itinerary,n,9
Not often or frequent,seldom,adv,6
An opinion or judgment about something,verdict,n,7
Not joking or funny,serious,adj,7
To make or repair by using needle and thread,sew,v,3
The ability to see,vision,adj,6
To tell about possible danger,warn,v,4
The front of the leg below the knee,shin,n,4
Words that are used informally,slang,n,5
Amount of money a worker is paid,wage,n,4
To go against something,defy,v,4
Wild or violent anger,fury,n,4
To rise or appear into view,emerge,v,6
Pieces of ice that fall from the clouds,hail,n,4
Extremely important and necessary,essential,adj,9
Almost not at all,hardly,adv,6
Directly under something or someone,beneath,preposition,7
To return to a normal state or health,recover,v,7
Ground where airplanes take off and land,runway,n,6
Of yellow or very light brown hair color,blonde,adj,6
A person's relatives,kin,n,3
To make something clear or clearer,clarify,v,7
A person who is not skillful at a job,amateur,n,7
"Very great in size, amount or degree",huge,adj,4
The area that is included in something,scope,n,5
The place where a person lives,home,n,4
An opinion about someone or something,comment,n,7
Having a bad temper,grumpy,adj,6
Being single or having no companions,lone,adj,4
Very close to doing something,about,adv,5
Acting very kind and helpful,friendly,adj,8
To watch and protect something,guard,v,5
To exchange something for moeny,sell,v,4
A line on the skin as you grow older,wrinkle,n,7
Having an acceptable basis,valid,n,5
To have interest in knowing something,wonder,n,6
A passage where people walk,aisle,n,5
A written or printed message to someone,letter,n,6
A thick liquid that adds flavor to food,sauce,n,5
Happening at the correct or useful time,timely,adj,6
The ability or right to control people or things,power,n,5
