typeId,answer,levelId,definition,synonym1,synonym2,antonym1,antonym2,de,sy,an
1,bandage,8,A covering for your wound,gauze,plaster,,,1,1,0
,gain,2,To increase in something,acquire,increase,lose,decrease,1,1,1
,landlord,5,Owner of a property that is rented,,,,,1,0,0
,various,1,Many different things,diverse,assorted,,,1,1,0
,letter,1,A written or printed message to someone,mail,note,,,1,1,0
,sauce,3,A thick liquid that adds flavor to food,,,,,1,0,0
,timely,3,Happening at the correct or useful time,well-timed,opportune,untimely,unopportune,1,1,1
,friendly,1,Acting very kind and helpful,affable,warm,estranged,hostile,1,1,1
,guard,3,To watch and protect something,protect,secure,,,1,1,0
,sell,1,To exchange something for money,vend,trade,buy,purchase,1,1,1
,wrinkle,7,A line on the skin as you grow older,crease,furrow,,,1,1,0
,wonder,2,To have interest in knowing something,,,,,1,0,0
,clarify,4,To make something clear or clearer,,,,,1,0,0
,amateur,2,A person who is not skillful at a job,inexperienced,nonprofessional,expert,professional,1,1,1
,huge,1,"Very great in size, amount or degree",big,enormous,tiny,small,1,1,1
,home,1,The place where a person lives,abode,residence,,,1,1,0
,under,1,Directly below something or someone,beneath,below,above,over,1,1,1
,recover,3,To return to a normal state or health,heal,mend,deteriorate,weaken,1,1,1
,fury,6,Wild or violent anger,rage,anger,,,1,1,0
,emerge,4,To rise or appear into view,arise,surface,,,1,1,0
,slang,6,Words that are used informally,jargon,lingo,,,1,1,0
,wage,3,Amount of money a worker is paid,salary,pay,,,1,1,0
,vision,2,The ability to see,,,,,1,0,0
,warn,4,To tell about possible danger,alert,notify,,,1,1,0
,ignore,3,To refuse to notice,disregard,overlook,mind,tend to,1,1,1
,toxic,3,Containing poisonous substance,poisonous,noxious,,,1,1,0
,mild,4,"Gentle, not strong or harsh",gentle,soft,harsh,intense,1,1,1
,itinerary,5,A travel plan or schedule,travel plan,schedule,,,1,1,0
,seldom,5,Not often or frequent,rarely,scarcely,often,frequently,1,1,1
,serious,1,Not joking or funny,solemn,earnest,lighthearted,cheerful,1,1,1
,travel,1,To go to a place,voyage,journey,,,1,1,0
,dark,2,Having very little or no light,dim,black,bright,luminous,1,1,1
,lose,2,To fail to win,defeated,beaten,win,victory,1,1,1
,odor,5,A particular smell,smell,scent,,,1,1,0
