Definition,Answer,Part of Speech,Level
A covering for your wound,bandage,n,8
To increase in something,gain,v,2
Owner of a property that is rented,landlord,n,5
Many different things,various,adj,1
A written or printed message to someone,letter,n,1
A thick liquid that adds flavor to food,sauce,n,3
Happening at the correct or useful time,timely,adj,3
Acting very kind and helpful,friendly,adj,2
To watch and protect something,guard,v,3
To exchange something for money,sell,v,1
A line on the skin as you grow older,wrinkle,n,7
To have interest in knowing something,wonder,n,2
To make something clear or clearer,clarify,v,4
A person who is not skillful at a job,amateur,n,2
"Very great in size, amount or degree",huge,adj,1
The place where a person lives,home,n,1
Directly below something or someone,under,prep,3
To return to a normal state or health,recover,v,3
Wild or violent anger,fury,n,6
To rise or appear into view,emerge,v,4
Words that are used informally,slang,n,6
Amount of money a worker is paid,wage,n,3
The ability to see,vision,adj,2
To tell about possible danger,warn,v,4
To refuse to notice,ignore,v,3
Containing poisonous substance,toxic,adj,3
"Gentle, not strong or harsh",mild,adj,4
A travel plan or schedule,itinerary,n,5
Not often or frequent,seldom,adv,5
Not joking or funny,serious,adj,1
To go to a place,travel,v,1
Having very little or no light,dark,adj,2
To fail to win,lose,v,2
A particular smell,odor,noun,5
To leave (a job); to stop doing,quit,v,3
A close friend or buddy,pal,n,5
Not able to hear,deaf,adj,5
Time during the day when light first appears ,dawn,noun,4
Power or skill to do something,ability,n,1
Logs that have been cut for use,lumber,n,5
The act of being modest; not proud,humble,adj,5
One-sidedness or favoritism,bias,n,3
Someone who cuts and sells meat,butcher,n,7
To spread on a surface,apply,v,1
A health center or a doctor's office,clinic,n,4
At all times,always,adv,1
To hide something or someone,conceal,v,6
Of or relating to a young person,juvenile,adj,4
To make something  ready,prepare,v,2
To become less wide,narrow,v,3
A boy or young man,lad,n,6
Difficult to understand or solve,hard,adj,1
Happy and cheerful,jolly,adj,7
Not showing good health,ill,adj,2
Not plain or ordinary,fancy,adj,4
Coins or bills,money,n,1
A person who steals,thief,n,6
A building or shelter,house,n,1
Something funny,joke,n,3
Not allowed by law,illegal,adj,2
Of lesser importance or significance,minor,adj,2
A motion picture,movie,n,1
Not pretty or attractive,ugly,adj,4
State or condition of being wrong,error,n,1
Not false or fake,genuine,adj,3
Not permanent,temporary,adj,2
Complexion that is closer to white,pale,adj,4
"A  round, red fruit with firm, white flesh",apple,n,3
A person who teaches,teacher,n,2
Often used when raining,umbrella,n,5
A piece of paper you pay for to watch a show or sport,ticket,n,2
Often used to write or draw,pen,n,3
A vehicle that floats on water,boat,n,2
Process of taking in food,eat,v,2
To move air into your lungs,inhale,v,8
To move air into and out of your lungs,breathe,v,5
The act of washing the body,bath,v,3
To clean something with water and soap,wash,v,3
Not dirty,clean,adj,2
things that people and animals eat,food,n,1
